2022-12-6T14:3:28,5464.14,25.69,64.94,643,26.91,53.70,113.56,26.84,58.28
2022-12-6T14:3:38,0.00,25.61,64.58,632,26.61,54.89,108.98,26.62,58.68
2022-12-6T14:3:48,378.40,25.65,64.57,629,26.34,55.99,107.23,26.44,58.68
2022-12-6T14:3:58,459.99,25.73,64.35,632,26.06,56.98,106.69,26.31,58.68
2022-12-6T14:4:7,489.01,25.82,64.14,633,25.81,57.80,105.41,26.21,58.66
2022-12-6T14:4:17,547.46,25.75,64.05,633,25.62,58.58,104.62,26.14,58.65
2022-12-6T14:4:27,582.38,25.72,64.19,633,25.41,59.20,103.71,26.08,58.65
2022-12-6T14:4:37,583.52,25.75,64.24,632,25.24,59.76,102.20,26.03,58.70
2022-12-6T14:4:47,584.22,25.79,64.20,631,25.11,60.20,102.32,25.99,58.72
2022-12-6T14:4:57,583.71,25.87,63.98,631,25.02,60.62,101.82,25.97,58.72
2022-12-6T14:5:7,587.93,25.93,63.90,631,24.91,60.93,101.45,25.95,58.70
2022-12-6T14:5:17,597.86,25.94,63.77,631,24.81,61.23,101.27,25.93,58.71
2022-12-6T14:5:27,593.08,25.99,63.65,631,24.77,61.46,100.60,25.92,58.74
2022-12-6T14:5:36,599.35,25.99,63.68,631,24.72,61.68,100.42,25.92,58.78
2022-12-6T14:5:46,598.31,25.96,63.73,632,24.69,61.82,100.36,25.91,58.82
2022-12-6T14:5:56,597.12,25.94,63.77,632,24.66,62.02,100.60,25.90,58.85
2022-12-6T14:6:6,601.87,25.94,63.73,631,24.64,62.13,100.12,25.90,58.88
2022-12-6T14:6:16,605.26,25.90,63.72,631,24.61,62.22,100.60,25.89,58.86
2022-12-6T14:6:26,609.52,25.87,63.77,632,24.61,62.27,100.42,25.88,58.88
2022-12-6T14:6:36,610.75,25.80,63.97,632,24.57,62.32,100.48,25.86,58.91
2022-12-6T14:6:46,605.14,25.83,63.98,632,24.54,62.35,101.64,25.83,59.04
2022-12-6T14:6:56,598.94,25.89,63.91,630,24.53,62.37,103.01,25.78,59.17
2022-12-6T14:7:6,588.37,26.01,63.71,628,24.54,62.42,102.95,25.74,59.30
2022-12-6T14:7:15,580.12,26.07,63.53,621,24.53,62.31,102.95,25.71,59.37
2022-12-6T14:7:25,572.01,26.17,63.33,620,24.53,62.36,103.27,25.69,59.40
2022-12-6T14:7:35,567.28,26.16,63.17,616,24.54,62.32,103.20,25.69,59.35
2022-12-6T14:7:45,577.73,26.07,63.18,616,24.53,62.31,103.33,25.69,59.29
2022-12-6T14:7:55,594.11,26.01,63.42,614,24.52,62.32,103.97,25.69,59.28
2022-12-6T14:8:5,605.38,25.91,63.58,613,24.53,62.32,103.97,25.69,59.26
2022-12-6T14:8:15,588.51,25.93,63.72,612,24.54,62.28,103.52,25.69,59.25
2022-12-6T14:8:24,577.99,25.91,63.65,612,24.53,62.32,103.08,25.69,59.25
2022-12-6T14:8:34,582.75,25.94,63.63,610,24.54,62.28,102.45,25.68,59.23
2022-12-6T14:8:44,584.14,25.97,63.66,609,24.50,62.32,102.76,25.68,59.29
2022-12-6T14:8:54,577.26,26.01,63.58,606,24.53,62.34,102.89,25.68,59.31
2022-12-6T14:9:4,567.47,26.03,63.49,604,24.52,62.30,103.01,25.69,59.26
2022-12-6T14:9:14,567.57,26.05,63.48,602,24.53,62.23,103.71,25.69,59.18
2022-12-6T14:9:24,563.70,26.10,63.32,600,24.55,62.24,104.17,25.70,59.18
2022-12-6T14:9:34,569.21,26.01,63.39,598,24.54,62.23,105.08,25.71,59.14
2022-12-6T14:9:44,566.51,26.07,63.42,596,24.56,62.18,105.48,25.71,59.16
2022-12-6T14:9:53,565.95,26.04,63.29,593,24.56,62.16,106.08,25.71,59.14
2022-12-6T14:10:3,565.83,26.11,63.30,591,24.56,62.07,105.61,25.71,59.12
2022-12-6T14:10:13,562.10,26.18,63.13,588,24.57,62.08,106.48,25.71,59.12
2022-12-6T14:10:23,558.94,26.21,62.98,584,24.59,62.07,106.48,25.71,59.13
2022-12-6T14:10:33,562.23,26.10,63.12,583,24.56,62.06,107.72,25.70,59.18
2022-12-6T14:10:43,564.80,26.01,63.23,582,24.54,62.07,107.30,25.69,59.22
2022-12-6T14:10:53,565.61,25.97,63.41,581,24.54,62.09,107.17,25.68,59.22
2022-12-6T14:11:3,570.25,25.93,63.50,582,24.55,62.07,107.03,25.67,59.26
2022-12-6T14:11:13,568.54,25.99,63.54,580,24.56,62.03,106.69,25.67,59.25
2022-12-6T14:11:23,563.94,26.08,63.35,580,24.56,62.00,107.03,25.66,59.21
2022-12-6T14:11:32,556.25,26.20,63.07,579,24.53,61.99,107.44,25.66,59.24
2022-12-6T14:11:42,562.99,26.04,63.29,609,24.52,62.16,107.30,25.64,59.44
2022-12-6T14:11:52,627.26,26.01,64.55,656,24.50,62.59,107.03,25.63,60.34
2022-12-6T14:12:2,717.66,25.94,63.75,671,24.50,62.40,106.75,25.63,59.68
2022-12-6T14:12:12,641.53,25.99,63.75,687,24.54,62.47,106.75,25.63,59.68
2022-12-6T14:12:22,637.72,26.04,63.51,689,24.52,62.32,107.30,25.64,59.43
2022-12-6T14:12:32,617.34,26.08,63.36,681,24.53,62.19,107.72,25.65,59.27
2022-12-6T14:12:42,608.38,26.07,63.34,675,24.53,62.15,107.79,25.67,59.15
2022-12-6T14:12:52,594.99,26.00,63.32,664,24.54,62.09,108.27,25.69,59.08
2022-12-6T14:13:2,593.07,26.00,63.48,646,24.54,62.02,108.34,25.71,59.00
2022-12-6T14:13:11,589.78,25.97,63.63,621,24.55,62.06,108.84,25.73,59.03
2022-12-6T14:13:22,588.87,26.04,63.64,602,24.56,62.02,110.93,25.75,58.98
2022-12-6T14:13:31,581.17,26.05,63.37,584,24.59,61.99,109.76,25.76,58.91
